Raw_ID,ID,CPP_ID,PPP_ID,MS_ID,USZ_ID,Tissue,Batch,Date,Year,Month,Day
GUOT_PC5_170726_CPP565_SW,PPPB133,CPP565,RP492,PC5,G_2011.0830,T,22,170726,17,7,26
GUOT_PC2_170213_CPP95_SW,PPPB134,CPP95,PPP85,PC2,G_2008.0488,N,4,170213,17,2,13
GUOT_PC3_170220_CPP338_SW,PPPB135,CPP338,PPP325,PC3,G_2010.0351,N,13,170220,17,2,20
GUOT_PC1_170127_CPP126_SW,PPPB136,CPP126,RP111,PC1,G_2008.0658,N,5,170127,17,1,27
GUOT_PC2_170208_CPP135_SW,PPPB137,CPP135,PPP120,PC2,G_2008.0697,T,5,170208,17,2,8
GUOT_PC3_170210_CPP505_SW,PPPB138,CPP505,PPP433,PC3,G_2011.0393,N,19,170210,17,2,10
GUOT_170731_PC6_CPP646_SW,PPPB139,CPP646,PPP530,PC6,G_2012.0010,T,28,170731,17,7,31
GUOT_PC1_170213_CPP428_SW,PPPB140,CPP428,PPP138,PC1,G_2009.0025,T,16,170213,17,2,13
GUOT_PC2_170130_CPP160_SW,PPPB141,CPP160,PPP141,PC2,G_2007.0918,N,6,170130,17,1,30
GUOT_PC3_170215_CPP366_SW,PPPB142,CPP366,PPP350,PC3,G_2010.0535,T,14,170215,17,2,15
GUOT_PC2_170127_CPP35_SW,PPPB143,CPP35,PPP32,PC2,G_2008.0070,T,2,170127,17,1,27
GUOT_PC1_170202_CPP335_SW,PPPB144,CPP335,RP322,PC1,G_2010.0305,T,13,170202,17,2,2
GUOT_PC4_170227_CPP490_SW,PPPB145,CPP490,PPP421,PC4,G_2011.0344,N,18,170227,17,2,27
GUOT_PC4_170227_CPP472_SW,PPPB146,CPP472,PPP405,PC4,G_2011.0236,N,18,170227,17,2,27
GUOT_PC2_170220_CPP315_SW,PPPB147,CPP315,PPP305,PC2,G_2010.0182,N,12,170220,17,2,20
GUOT_PC2_170220_PCPOOL18_SW,PPPB148,PCPOOL18,PC15AQUA,PC2,NA,A,18,170220,17,2,20
GUOT_PC2_170210_CPP88_SW,PPPB149,CPP88,PPP79,PC2,G_2008.0411,N,4,170210,17,2,10
GUOT_PC3_170125_CPP63_SW,PPPB150,CPP63,RP57,PC3,G_2008.0263,N,3,170125,17,1,25
GUOT_170731_PC6_PCPOOL31_SW,PPPB151,PCPOOL31,PC15AQUA,PC6,NA,A,28,170731,17,7,31
GUOT_170728_PC6_CPP632_SW,PPPB152,CPP632,PPP520,PC6,G_2011.1101,T,27,170728,17,7,28
GUOT_PC4_170127_CPP211_SW,PPPB153,CPP211,PPP213,PC4,G_2009.0465,N,8,170127,17,1,27
GUOT_PC4_170223_CPP243_SW,PPPB154,CPP243,PPP245,PC4,G_2009.0689,N,9,170223,17,2,23
GUOT_PC5_170731_CPP633_SW,PPPB155,CPP633,RP520,PC5,G_2011.1101,T,27,170731,17,7,31
GUOT_PC3_170130_CPP172_SW,PPPB156,CPP172,PPP177,PC3,G_2009.0190,N,7,170130,17,1,30
GUOT_PC1_170131_CPP225_SW,PPPB157,CPP225,PPP229,PC1,G_2009.0584,N,9,170131,17,1,31
GUOT_PC2_170130_PCPOOL6_SW,PPPB158,PCPOOL6,PC15AQUA,PC2,NA,A,6,170130,17,1,30
GUOT_PC3_170130_CPP176_SW,PPPB159,CPP176,PPP180,PC3,G_2009.0195,T,7,170130,17,1,30
GUOT_170728_PC6_CPP629_SW,PPPB160,CPP629,PPP517,PC6,G_2011.1067,N,27,170728,17,7,28
GUOT_PC4_170711_CPP536_SW,PPPB161,CPP536,PPP470,PC4,G_2011.0675,T,21,170711,17,7,11
GUOT_PC3_170213_CPP48_SW,PPPB162,CPP48,RP43,PC3,G_2008.0158,N,2,170213,17,2,13
GUOT_PC5_170726_CPP564_SW,PPPB163,CPP564,PPP492,PC5,G_2011.0830,T,22,170726,17,7,26
GUOT_PC4_170201_CPP429_SW,PPPB164,CPP429,PPP139,PC4,G_2007.0916,N,16,170201,17,2,1
GUOT_PC1_170127_CPP125_SW,PPPB165,CPP125,PPP111,PC1,G_2008.0658,N,5,170127,17,1,27
GUOT_PC4_170224_CPP175_SW,PPPB166,CPP175,RP179,PC4,G_2009.0195,N,7,170224,17,2,24
GUOT_PC5_170727_CPP613_SW,PPPB167,CPP613,PPP445,PC5,G_2011.0463,N,26,170727,17,7,27
GUOT_PC4_170201_CPP422_SW,PPPB168,CPP422,PPP130,PC4,G_2008.0850,T,16,170201,17,2,1
GUOT_170730_PC6_CPP696_SW,PPPB169,CPP696,PPP572,PC6,G_2012.0371,T,31,170730,17,7,30
GUOT_PC2_170130_CPP163_SW,PPPB170,CPP163,PPP144,PC2,G_2008.0006,T,6,170130,17,1,30
GUOT_PC5_170802_CPP705,PPPB171,CPP705,PPP579,PC5,G_2012.0419,N,31,170802,17,8,2
GUOT_170803_PC1_CPP607_SW,PPPB172,CPP607,PPP396,PC1,G_2011.0130,T,25,170803,17,8,3
GUOT_PC1_170202_CPP357_SW,PPPB173,CPP357,PPP342,PC1,G_2010.0473,T,13,170202,17,2,2
GUOT_PC1_170125_CPP4_SW,PPPB174,CPP4,PPP3,PC1,G_2007.0673,N,1,170125,17,1,25
GUOT_PC1_170131_CPP226_SW,PPPB175,CPP226,RP229,PC1,G_2009.0584,N,9,170131,17,1,31
GUOT_PC5_170729_CPP679_SW,PPPB176,CPP679,PPP557,PC5,G_2012.0207,N,30,170729,17,7,29
GUOT_PC5_170727_CPP623_SW,PPPB177,CPP623,PPP453,PC5,G_2011.0508,N,26,170727,17,7,27
GUOT_PC3_170130_CPP64B_SW,PPPB178,CPP64B,PPP58,PC3,G_2008.0263,T,3,170130,17,1,30
GUOT_PC3_170210_CPP494_SW,PPPB179,CPP494,PPP424,PC3,G_2011.0349,T,19,170210,17,2,10
GUOT_PC1_170131_CPP229_SW,PPPB180,CPP229,PPP232,PC1,G_2009.0588,T,9,170131,17,1,31
GUOT_PC4_170201_CPP428_SW,PPPB181,CPP428,PPP138,PC4,G_2009.0025,T,16,170201,17,2,1
GUOT_PC3_170125_CPP66_SW,PPPB182,CPP66,PPP60,PC3,G_2008.0278,T,3,170125,17,1,25
GUOT_PC5_170731_CPP635_SW,PPPB183,CPP635,PPP522,PC5,G_2011.1103,T,27,170731,17,7,31
GUOT_PC1_170131_CPP227_SW,PPPB184,CPP227,PPP230,PC1,G_2009.0584,T,9,170131,17,1,31
GUOT_PC1_170208_CPP74_SW,PPPB185,CPP74,PPP68,PC1,G_2008.0313,T,3,170208,17,2,8
GUOT_PC3_170130_CPP181_SW,PPPB186,CPP181,PPP185,PC3,G_2009.0266,N,7,170130,17,1,30
GUOT_PC3_170127_CPP80_SW,PPPB187,CPP80,PPP73,PC3,G_2008.0344,N,3,170127,17,1,27
GUOT_PC3_170206_CPP402_SW,PPPB188,CPP402,PPP381,PC3,G_2010.0870,N,15,170206,17,2,6
GUOT_PC3_170213_CPP36_SW,PPPB189,CPP36,PPP33,PC3,G_2008.0082,N,2,170213,17,2,13
GUOT_PC3_170202_CPP300_SW,PPPB190,CPP300,PPP293,PC3,G_2010.0142,N,11,170202,17,2,2
GUOT_PC1_170131_CPP229_SW,PPPB191,CPP229,PPP232,PC1,G_2009.0588,T,9,170131,17,1,31
GUOT_PC2_170220_CPP319_SW,PPPB192,CPP319,PPP309,PC2,G_2010.0242,N,12,170220,17,2,20
GUOT_PC1_170131_CPP234_SW,PPPB193,CPP234,PPP236,PC1,G_2009.0644,T,9,170131,17,1,31
GUOT_PC3_170210_CPP498_SW,PPPB194,CPP498,RP427,PC3,G_2011.0369,N,19,170210,17,2,10
GUOT_PC4_170130_CPP311_SW,PPPB195,CPP311,PPP302,PC4,G_2010.0163,T,12,170130,17,1,30
GUOT_PC4_170124_CPP83_SW,PPPB196,CPP83,PPP75,PC4,G_2008.0377,N,4,170124,17,1,24
GUOT_PC1_170202_CPP342_SW,PPPB197,CPP342,PPP329,PC1,G_2010.0397,N,13,170202,17,2,2
GUOT_PC1_170131_CPP223_SW,PPPB198,CPP223,PPP223,PC1,G_2009.0520,N,9,170131,17,1,31
GUOT_PC2_170215_CPP289_SW,PPPB199,CPP289,PPP283,PC2,G_2010.0108,N,11,170215,17,2,15
GUOT_PC3_170125_CPP54_SW,PPPB200,CPP54,CTRL2B,PC3,NA,C,3,170125,17,1,25
GUOT_PC5_170731_CPP631_SW,PPPB201,CPP631,PPP519,PC5,G_2011.1101,N,27,170731,17,7,31
GUOT_PC3_170217_CPP198_SW,PPPB202,CPP198,PPP200,PC3,G_2009.0382,T,8,170217,17,2,17
GUOT_PC4_170227_CPP480_SW,PPPB203,CPP480,PPP411,PC4,G_2011.0259,N,18,170227,17,2,27
GUOT_PC2_170215_CPP281_SW,PPPB204,CPP281,PPP277,PC2,G_2010.0037,N,11,170215,17,2,15
GUOT_PC4_170227_CPP481_SW,PPPB205,CPP481,PPP412,PC4,G_2011.0259,T,18,170227,17,2,27
GUOT_PC2_170217_CPP457_SW,PPPB206,CPP457,PPP191,PC2,G_2009.0285,N,17,170217,17,2,17
GUOT_PC3_170202_CPP278_SW,PPPB207,CPP278,PPP274,PC3,G_2010.0018,T,11,170202,17,2,2
GUOT_PC4_170301_CPP501_SW,PPPB208,CPP501,PPP430,PC4,G_2011.0384,T,19,170301,17,3,1
GUOT_170728_PC1_CPP585_SW,PPPB209,CPP585,PPP509,PC1,G_2011.1024,N,24,170728,17,7,28
